variable,clay_fraction,clay_fraction,clay_fraction,climate_KG,climate_KG,climate_KG,climate_insitu,climate_insitu,climate_insitu,elevation,elevation,elevation,instrument,instrument,instrument,latitude,latitude,latitude,lc_2000,lc_2000,lc_2000,lc_2005,lc_2005,lc_2005,lc_2010,lc_2010,lc_2010,lc_insitu,lc_insitu,lc_insitu,longitude,longitude,longitude,network,network,network,organic_carbon,organic_carbon,organic_carbon,sand_fraction,sand_fraction,sand_fraction,saturation,saturation,saturation,silt_fraction,silt_fraction,silt_fraction,station,station,station,timerange_from,timerange_from,timerange_from,timerange_to,timerange_to,timerange_to,variable,variable,variable,file_path,file_type
3088,0.0,0.3,21.0,,,Cfa,,,unknown,,,64.9224,0.2032,0.2032,Hydraprobe-Analog-(2.5-Volt),,,35.283,,,10,,,10,,,10,,,unknown,,,-90.45,,,SCAN,0.0,0.3,0.82,0.0,0.3,47.0,0.0,0.3,0.42,0.0,0.3,32.0,,,UAPBEarle,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2032,0.2032,soil_moisture,SCAN/UAPBEarle/SCAN_SCAN_UAPBEarle_sm_0.203200_0.203200_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3089,0.3,1.0,31.0,,,Cfa,,,unknown,,,64.9224,0.508,0.508,Hydraprobe-Analog-(2.5-Volt),,,35.283,,,10,,,10,,,10,,,unknown,,,-90.45,,,SCAN,0.3,1.0,0.39,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,29.0,,,UAPBEarle,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.508,0.508,soil_moisture,SCAN/UAPBEarle/SCAN_SCAN_UAPBEarle_sm_0.508000_0.508000_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3090,,,,,,Cfa,,,unknown,,,64.9224,1.016,1.016,Hydraprobe-Analog-(2.5-Volt),,,35.283,,,10,,,10,,,10,,,unknown,,,-90.45,,,SCAN,,,,,,,,,,,,,,,UAPBEarle,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,1.016,1.016,soil_moisture,SCAN/UAPBEarle/SCAN_SCAN_UAPBEarle_sm_1.016000_1.016000_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3091,0.0,0.3,21.0,,,Cfa,,,unknown,,,76.2,0.0508,0.0508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,34.85,,,10,,,10,,,10,,,unknown,,,-91.883,,,SCAN,0.0,0.3,0.82,0.0,0.3,47.0,0.0,0.3,0.42,0.0,0.3,32.0,,,UAPBLonokeFarm,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.0508,0.0508,soil_moisture,SCAN/UAPBLonokeFarm/SCAN_SCAN_UAPBLonokeFarm_sm_0.050800_0.050800_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3092,0.0,0.3,21.0,,,Cfa,,,unknown,,,76.2,0.1016,0.1016,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,34.85,,,10,,,10,,,10,,,unknown,,,-91.883,,,SCAN,0.0,0.3,0.82,0.0,0.3,47.0,0.0,0.3,0.42,0.0,0.3,32.0,,,UAPBLonokeFarm,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1016,0.1016,soil_moisture,SCAN/UAPBLonokeFarm/SCAN_SCAN_UAPBLonokeFarm_sm_0.101600_0.101600_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3093,0.0,0.3,21.0,,,Cfa,,,unknown,,,76.2,0.2032,0.2032,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,34.85,,,10,,,10,,,10,,,unknown,,,-91.883,,,SCAN,0.0,0.3,0.82,0.0,0.3,47.0,0.0,0.3,0.42,0.0,0.3,32.0,,,UAPBLonokeFarm,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2032,0.2032,soil_moisture,SCAN/UAPBLonokeFarm/SCAN_SCAN_UAPBLonokeFarm_sm_0.203200_0.203200_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3094,0.3,1.0,31.0,,,Cfa,,,unknown,,,76.2,0.508,0.508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,34.85,,,10,,,10,,,10,,,unknown,,,-91.883,,,SCAN,0.3,1.0,0.39,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,29.0,,,UAPBLonokeFarm,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.508,0.508,soil_moisture,SCAN/UAPBLonokeFarm/SCAN_SCAN_UAPBLonokeFarm_sm_0.508000_0.508000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3095,,,,,,Cfa,,,unknown,,,76.2,1.016,1.016,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,34.85,,,10,,,10,,,10,,,unknown,,,-91.883,,,SCAN,,,,,,,,,,,,,,,UAPBLonokeFarm,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,1.016,1.016,soil_moisture,SCAN/UAPBLonokeFarm/SCAN_SCAN_UAPBLonokeFarm_sm_1.016000_1.016000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3096,0.0,0.3,21.0,,,Cfa,,,unknown,,,66.1416,0.0508,0.0508,Hydraprobe-Analog-(2.5-Volt),,,34.783,,,10,,,10,,,10,,,unknown,,,-90.817,,,SCAN,0.0,0.3,0.82,0.0,0.3,47.0,0.0,0.3,0.42,0.0,0.3,32.0,,,UAPBMarianna,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.0508,0.0508,soil_moisture,SCAN/UAPBMarianna/SCAN_SCAN_UAPBMarianna_sm_0.050800_0.050800_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3097,0.0,0.3,21.0,,,Cfa,,,unknown,,,66.1416,0.1016,0.1016,Hydraprobe-Analog-(2.5-Volt),,,34.783,,,10,,,10,,,10,,,unknown,,,-90.817,,,SCAN,0.0,0.3,0.82,0.0,0.3,47.0,0.0,0.3,0.42,0.0,0.3,32.0,,,UAPBMarianna,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1016,0.1016,soil_moisture,SCAN/UAPBMarianna/SCAN_SCAN_UAPBMarianna_sm_0.101600_0.101600_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3098,0.0,0.3,21.0,,,Cfa,,,unknown,,,66.1416,0.2032,0.2032,Hydraprobe-Analog-(2.5-Volt),,,34.783,,,10,,,10,,,10,,,unknown,,,-90.817,,,SCAN,0.0,0.3,0.82,0.0,0.3,47.0,0.0,0.3,0.42,0.0,0.3,32.0,,,UAPBMarianna,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2032,0.2032,soil_moisture,SCAN/UAPBMarianna/SCAN_SCAN_UAPBMarianna_sm_0.203200_0.203200_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3099,0.3,1.0,31.0,,,Cfa,,,unknown,,,66.1416,0.508,0.508,Hydraprobe-Analog-(2.5-Volt),,,34.783,,,10,,,10,,,10,,,unknown,,,-90.817,,,SCAN,0.3,1.0,0.39,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,29.0,,,UAPBMarianna,,,2017-10-05 00:00:00,,,2019-03-07 22:00:00,0.508,0.508,soil_moisture,SCAN/UAPBMarianna/SCAN_SCAN_UAPBMarianna_sm_0.508000_0.508000_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3100,,,,,,Cfa,,,unknown,,,66.1416,1.016,1.016,Hydraprobe-Analog-(2.5-Volt),,,34.783,,,10,,,10,,,10,,,unknown,,,-90.817,,,SCAN,,,,,,,,,,,,,,,UAPBMarianna,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,1.016,1.016,soil_moisture,SCAN/UAPBMarianna/SCAN_SCAN_UAPBMarianna_sm_1.016000_1.016000_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3101,0.0,0.3,24.0,,,Cfa,,,unknown,,,96.012,0.0508,0.0508,Hydraprobe-Analog-(2.5-Volt),,,35.217,,,130,,,130,,,130,,,unknown,,,-92.917,,,SCAN,0.0,0.3,1.0,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,27.0,,,UAPBPointRemove,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.0508,0.0508,soil_moisture,SCAN/UAPBPointRemove/SCAN_SCAN_UAPBPointRemove_sm_0.050800_0.050800_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3102,0.0,0.3,24.0,,,Cfa,,,unknown,,,96.012,0.1016,0.1016,Hydraprobe-Analog-(2.5-Volt),,,35.217,,,130,,,130,,,130,,,unknown,,,-92.917,,,SCAN,0.0,0.3,1.0,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,27.0,,,UAPBPointRemove,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1016,0.1016,soil_moisture,SCAN/UAPBPointRemove/SCAN_SCAN_UAPBPointRemove_sm_0.101600_0.101600_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3103,0.0,0.3,24.0,,,Cfa,,,unknown,,,96.012,0.2032,0.2032,Hydraprobe-Analog-(2.5-Volt),,,35.217,,,130,,,130,,,130,,,unknown,,,-92.917,,,SCAN,0.0,0.3,1.0,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,27.0,,,UAPBPointRemove,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2032,0.2032,soil_moisture,SCAN/UAPBPointRemove/SCAN_SCAN_UAPBPointRemove_sm_0.203200_0.203200_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3104,0.3,1.0,36.0,,,Cfa,,,unknown,,,96.012,0.508,0.508,Hydraprobe-Analog-(2.5-Volt),,,35.217,,,130,,,130,,,130,,,unknown,,,-92.917,,,SCAN,0.3,1.0,0.42,0.3,1.0,40.0,0.3,1.0,0.44,0.3,1.0,24.0,,,UAPBPointRemove,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.508,0.508,soil_moisture,SCAN/UAPBPointRemove/SCAN_SCAN_UAPBPointRemove_sm_0.508000_0.508000_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3105,,,,,,Cfa,,,unknown,,,96.012,1.016,1.016,Hydraprobe-Analog-(2.5-Volt),,,35.217,,,130,,,130,,,130,,,unknown,,,-92.917,,,SCAN,,,,,,,,,,,,,,,UAPBPointRemove,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,1.016,1.016,soil_moisture,SCAN/UAPBPointRemove/SCAN_SCAN_UAPBPointRemove_sm_1.016000_1.016000_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3106,0.3,1.0,43.0,,,masked,,,unknown,,,36.2712,0.508,0.508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,17.717,,,11,,,11,,,11,,,unknown,,,-64.8,,,SCAN,0.3,1.0,0.39,0.3,1.0,27.0,0.3,1.0,0.47,0.3,1.0,30.0,,,UpperBethlehem,,,2018-01-13 04:00:00,,,2019-03-03 20:00:00,0.508,0.508,soil_moisture,SCAN/UpperBethlehem/SCAN_SCAN_UpperBethlehem_sm_0.508000_0.508000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3107,0.0,0.3,50.0,,,Cfa,,,unknown,,,379.256,0.0508,0.0508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,29.36,,,120,,,120,,,120,,,unknown,,,-100.25,,,SCAN,0.0,0.3,1.6,0.0,0.3,18.0,0.0,0.3,0.52,0.0,0.3,32.0,,,Uvalde,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.0508,0.0508,soil_moisture,SCAN/Uvalde/SCAN_SCAN_Uvalde_sm_0.050800_0.050800_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3108,0.0,0.3,50.0,,,Cfa,,,unknown,,,379.256,0.2032,0.2032,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,29.36,,,120,,,120,,,120,,,unknown,,,-100.25,,,SCAN,0.0,0.3,1.6,0.0,0.3,18.0,0.0,0.3,0.52,0.0,0.3,32.0,,,Uvalde,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2032,0.2032,soil_moisture,SCAN/Uvalde/SCAN_SCAN_Uvalde_sm_0.203200_0.203200_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3109,0.3,1.0,44.0,,,Cfa,,,unknown,,,379.256,0.508,0.508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,29.36,,,120,,,120,,,120,,,unknown,,,-100.25,,,SCAN,0.3,1.0,0.64,0.3,1.0,22.0,0.3,1.0,0.48,0.3,1.0,34.0,,,Uvalde,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.508,0.508,soil_moisture,SCAN/Uvalde/SCAN_SCAN_Uvalde_sm_0.508000_0.508000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3110,,,,,,Cfa,,,unknown,,,379.256,1.016,1.016,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,29.36,,,120,,,120,,,120,,,unknown,,,-100.25,,,SCAN,,,,,,,,,,,,,,,Uvalde,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,1.016,1.016,soil_moisture,SCAN/Uvalde/SCAN_SCAN_Uvalde_sm_1.016000_1.016000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3111,0.0,0.3,21.0,,,Dfa,,,unknown,,,329.04,0.0508,0.0508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,42.71,,,10,,,10,,,10,,,unknown,,,-90.39,,,SCAN,0.0,0.3,0.82,0.0,0.3,47.0,0.0,0.3,0.42,0.0,0.3,32.0,,,UwPlatteville,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.0508,0.0508,soil_moisture,SCAN/UwPlatteville/SCAN_SCAN_UwPlatteville_sm_0.050800_0.050800_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3112,0.0,0.3,21.0,,,Dfa,,,unknown,,,329.04,0.1016,0.1016,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,42.71,,,10,,,10,,,10,,,unknown,,,-90.39,,,SCAN,0.0,0.3,0.82,0.0,0.3,47.0,0.0,0.3,0.42,0.0,0.3,32.0,,,UwPlatteville,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1016,0.1016,soil_moisture,SCAN/UwPlatteville/SCAN_SCAN_UwPlatteville_sm_0.101600_0.101600_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3113,0.0,0.3,21.0,,,Dfa,,,unknown,,,329.04,0.2032,0.2032,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,42.71,,,10,,,10,,,10,,,unknown,,,-90.39,,,SCAN,0.0,0.3,0.82,0.0,0.3,47.0,0.0,0.3,0.42,0.0,0.3,32.0,,,UwPlatteville,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2032,0.2032,soil_moisture,SCAN/UwPlatteville/SCAN_SCAN_UwPlatteville_sm_0.203200_0.203200_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3114,0.3,1.0,31.0,,,Dfa,,,unknown,,,329.04,0.508,0.508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,42.71,,,10,,,10,,,10,,,unknown,,,-90.39,,,SCAN,0.3,1.0,0.39,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,29.0,,,UwPlatteville,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.508,0.508,soil_moisture,SCAN/UwPlatteville/SCAN_SCAN_UwPlatteville_sm_0.508000_0.508000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3115,,,,,,Dfa,,,unknown,,,329.04,1.016,1.016,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,42.71,,,10,,,10,,,10,,,unknown,,,-90.39,,,SCAN,,,,,,,,,,,,,,,UwPlatteville,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,1.016,1.016,soil_moisture,SCAN/UwPlatteville/SCAN_SCAN_UwPlatteville_sm_1.016000_1.016000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3116,0.0,0.3,22.0,,,Cfa,,,unknown,,,45.72,0.0508,0.0508,Hydraprobe-Analog-(2.5-Volt),,,34.067,,,10,,,10,,,10,,,unknown,,,-90.35,,,SCAN,0.0,0.3,0.94,0.0,0.3,42.0,0.0,0.3,0.43,0.0,0.3,36.0,,,Vance,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.0508,0.0508,soil_moisture,SCAN/Vance/SCAN_SCAN_Vance_sm_0.050800_0.050800_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3117,0.0,0.3,22.0,,,Cfa,,,unknown,,,45.72,0.1016,0.1016,Hydraprobe-Analog-(2.5-Volt),,,34.067,,,10,,,10,,,10,,,unknown,,,-90.35,,,SCAN,0.0,0.3,0.94,0.0,0.3,42.0,0.0,0.3,0.43,0.0,0.3,36.0,,,Vance,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1016,0.1016,soil_moisture,SCAN/Vance/SCAN_SCAN_Vance_sm_0.101600_0.101600_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3118,0.0,0.3,22.0,,,Cfa,,,unknown,,,45.72,0.2032,0.2032,Hydraprobe-Analog-(2.5-Volt),,,34.067,,,10,,,10,,,10,,,unknown,,,-90.35,,,SCAN,0.0,0.3,0.94,0.0,0.3,42.0,0.0,0.3,0.43,0.0,0.3,36.0,,,Vance,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2032,0.2032,soil_moisture,SCAN/Vance/SCAN_SCAN_Vance_sm_0.203200_0.203200_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3119,0.3,1.0,33.0,,,Cfa,,,unknown,,,45.72,0.508,0.508,Hydraprobe-Analog-(2.5-Volt),,,34.067,,,10,,,10,,,10,,,unknown,,,-90.35,,,SCAN,0.3,1.0,0.28,0.3,1.0,35.0,0.3,1.0,0.43,0.3,1.0,32.0,,,Vance,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.508,0.508,soil_moisture,SCAN/Vance/SCAN_SCAN_Vance_sm_0.508000_0.508000_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3120,,,,,,Cfa,,,unknown,,,45.72,1.016,1.016,Hydraprobe-Analog-(2.5-Volt),,,34.067,,,10,,,10,,,10,,,unknown,,,-90.35,,,SCAN,,,,,,,,,,,,,,,Vance,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,1.016,1.016,soil_moisture,SCAN/Vance/SCAN_SCAN_Vance_sm_1.016000_1.016000_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3121,0.0,0.3,23.0,,,BSk,,,unknown,,,1944.9288,0.0508,0.0508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,37.183,,,70,,,70,,,70,,,unknown,,,-112.2,,,SCAN,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Vermillion,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.0508,0.0508,soil_moisture,SCAN/Vermillion/SCAN_SCAN_Vermillion_sm_0.050800_0.050800_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3122,0.0,0.3,23.0,,,BSk,,,unknown,,,1944.9288,0.1016,0.1016,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,37.183,,,70,,,70,,,70,,,unknown,,,-112.2,,,SCAN,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Vermillion,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1016,0.1016,soil_moisture,SCAN/Vermillion/SCAN_SCAN_Vermillion_sm_0.101600_0.101600_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3123,0.0,0.3,23.0,,,BSk,,,unknown,,,1944.9288,0.2032,0.2032,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,37.183,,,70,,,70,,,70,,,unknown,,,-112.2,,,SCAN,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Vermillion,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2032,0.2032,soil_moisture,SCAN/Vermillion/SCAN_SCAN_Vermillion_sm_0.203200_0.203200_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3124,0.3,1.0,29.0,,,BSk,,,unknown,,,1944.9288,0.508,0.508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,37.183,,,70,,,70,,,70,,,unknown,,,-112.2,,,SCAN,0.3,1.0,0.57,0.3,1.0,29.0,0.3,1.0,0.44,0.3,1.0,42.0,,,Vermillion,,,2017-10-05 00:00:00,,,2018-08-02 20:00:00,0.508,0.508,soil_moisture,SCAN/Vermillion/SCAN_SCAN_Vermillion_sm_0.508000_0.508000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3125,,,,,,BSk,,,unknown,,,1944.9288,1.016,1.016,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,37.183,,,70,,,70,,,70,,,unknown,,,-112.2,,,SCAN,,,,,,,,,,,,,,,Vermillion,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,1.016,1.016,soil_moisture,SCAN/Vermillion/SCAN_SCAN_Vermillion_sm_1.016000_1.016000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3126,0.0,0.3,23.0,,,Cfa,,,unknown,,,366.006,0.0508,0.0508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,34.02,,,130,,,130,,,130,,,unknown,,,-99.25,,,SCAN,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Vernon,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.0508,0.0508,soil_moisture,SCAN/Vernon/SCAN_SCAN_Vernon_sm_0.050800_0.050800_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3127,0.0,0.3,23.0,,,Cfa,,,unknown,,,366.006,0.1016,0.1016,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,34.02,,,130,,,130,,,130,,,unknown,,,-99.25,,,SCAN,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Vernon,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1016,0.1016,soil_moisture,SCAN/Vernon/SCAN_SCAN_Vernon_sm_0.101600_0.101600_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3128,0.0,0.3,23.0,,,Cfa,,,unknown,,,366.006,0.2032,0.2032,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,34.02,,,130,,,130,,,130,,,unknown,,,-99.25,,,SCAN,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Vernon,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2032,0.2032,soil_moisture,SCAN/Vernon/SCAN_SCAN_Vernon_sm_0.203200_0.203200_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3129,0.3,1.0,29.0,,,Cfa,,,unknown,,,366.006,0.508,0.508,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,34.02,,,130,,,130,,,130,,,unknown,,,-99.25,,,SCAN,0.3,1.0,0.57,0.3,1.0,29.0,0.3,1.0,0.44,0.3,1.0,42.0,,,Vernon,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.508,0.508,soil_moisture,SCAN/Vernon/SCAN_SCAN_Vernon_sm_0.508000_0.508000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3130,,,,,,Cfa,,,unknown,,,366.006,1.016,1.016,Hydraprobe-Digital-Sdi-12-(2.5-Volt),,,34.02,,,130,,,130,,,130,,,unknown,,,-99.25,,,SCAN,,,,,,,,,,,,,,,Vernon,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,1.016,1.016,soil_moisture,SCAN/Vernon/SCAN_SCAN_Vernon_sm_1.016000_1.016000_Hydraprobe-Digital-Sdi-12-(2.5-Volt)_20171005_20190311.stm,header_values
3131,0.0,0.3,23.0,,,BSk,,,unknown,,,982.98,0.0508,0.0508,Hydraprobe-Analog-(2.5-Volt),,,48.433,,,10,,,10,,,10,,,unknown,,,-111.183,,,SCAN,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Violett,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.0508,0.0508,soil_moisture,SCAN/Violett/SCAN_SCAN_Violett_sm_0.050800_0.050800_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3132,0.0,0.3,23.0,,,BSk,,,unknown,,,982.98,0.1016,0.1016,Hydraprobe-Analog-(2.5-Volt),,,48.433,,,10,,,10,,,10,,,unknown,,,-111.183,,,SCAN,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Violett,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1016,0.1016,soil_moisture,SCAN/Violett/SCAN_SCAN_Violett_sm_0.101600_0.101600_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3133,0.0,0.3,23.0,,,BSk,,,unknown,,,982.98,0.2032,0.2032,Hydraprobe-Analog-(2.5-Volt),,,48.433,,,10,,,10,,,10,,,unknown,,,-111.183,,,SCAN,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Violett,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2032,0.2032,soil_moisture,SCAN/Violett/SCAN_SCAN_Violett_sm_0.203200_0.203200_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3134,0.3,1.0,29.0,,,BSk,,,unknown,,,982.98,0.508,0.508,Hydraprobe-Analog-(2.5-Volt),,,48.433,,,10,,,10,,,10,,,unknown,,,-111.183,,,SCAN,0.3,1.0,0.57,0.3,1.0,29.0,0.3,1.0,0.44,0.3,1.0,42.0,,,Violett,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.508,0.508,soil_moisture,SCAN/Violett/SCAN_SCAN_Violett_sm_0.508000_0.508000_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
3135,,,,,,BSk,,,unknown,,,982.98,1.016,1.016,Hydraprobe-Analog-(2.5-Volt),,,48.433,,,10,,,10,,,10,,,unknown,,,-111.183,,,SCAN,,,,,,,,,,,,,,,Violett,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,1.016,1.016,soil_moisture,SCAN/Violett/SCAN_SCAN_Violett_sm_1.016000_1.016000_Hydraprobe-Analog-(2.5-Volt)_20171005_20190311.stm,header_values
